"Preparation_Date","Preparation_Time","Preparation_Time_Zone","Analysis_Date","Analysis_Time","Analysis_Time_Zone","County","Lake","Station","Activity_Start_Date","Activity_Start_Time","Activity_Time_Zone","Vol Filtered (L)","Ethanol (ml)","Tube #","750","664","647","630","750 (HCL)","665 (HCL)","Result_Value(ug/L)","Result_Comments","QAQC_Qualifier","WIN_Value_Qualifier","Holding_Qualifier","MDL_PQL_Qualifier","Data_Category","Run_ID","Study","Comments","StartDate","PrepDate","AnDate","Value_Qualifier","Sampling_Agency_Name","Project_ID"
,,,"10/14/2025",12:00:00,"EST",,,"MLBK3",,,,1,8,45,0.003,0.004,0.004,0.003,0.003,0.003,1,,,"TI",,"TI","QAQC","CHLC1013202510142025",,,,,2025-10-14,"U","Florida Lakewatch","21FLKWAT"
,,,"10/14/2025",12:00:00,"EST",,,"CCV3",,,,0.008,8,66,0.003,0.018,0.007,0.003,0.003,0.012,160,,,"",,,"QAQC","CHLC1013202510142025",,,,,2025-10-14,,"Florida Lakewatch","21FLKWAT"
,,,"10/14/2025",12:00:00,"EST",,,"MLBK4",,,,1,8,67,0.004,0.005,0.005,0.004,0.003,0.004,1,,,"TI",,"TI","QAQC","CHLC1013202510142025",,,,,2025-10-14,"U","Florida Lakewatch","21FLKWAT"
,,,"10/14/2025",12:00:00,"EST",,,"CCV4",,,,0.008,8,72,0.003,0.018,0.007,0.003,0.001,0.01,160,,,"",,,"Sample","CHLC1013202510142025",,,,,2025-10-14,,"Florida Lakewatch","21FLKWAT"
,,,"10/14/2025",12:00:00,"EST",,,"CCV4",,,,0.008,8,88,0.003,0.018,0.007,0.003,0.001,0.01,160,,,"",,,"QAQC","CHLC1013202510142025",,,,,2025-10-14,,"Florida Lakewatch","21FLKWAT"
,,,"10/14/2025",12:00:00,"EST",,,"MLBK5",,,,1,8,89,,,,,,,,,,"",,,"QAQC","CHLC1013202510142025",,,,,2025-10-14,,"Florida Lakewatch","21FLKWAT"
,,,"10/14/2025",12:00:00,"EST",,,"CCV5",,,,0.008,8,110,,,,,,,,,,"",,,"QAQC","CHLC1013202510142025",,,,,2025-10-14,,"Florida Lakewatch","21FLKWAT"
,,,"10/16/2025",12:59:59,"EST",,,"MBLK1",,,,1,8,1,0.004,0.004,0.005,0.004,0.004,0.004,1,,,"TI",,"TI","QAQC","CHLC1015202510162025",,,,,2025-10-16,"U","Florida Lakewatch","21FLKWAT"
"04/29/2025",15:20:59,"EST","10/16/2025",12:59:59,"EST","Marion","Downstream1","1","04/29/2025",15:14:00,"EST",0.3,8,2,0.003,0.018,0.009,0.003,0.005,0.015,4,,,"Q","Q",,"Sample","CHLC1015202510162025","Student Project",,2025-04-29,2025-04-29,2025-10-16,"Q","Florida Lakewatch","21FLKWAT"
"04/29/2025",15:40:00,"EST","10/16/2025",12:59:59,"EST","Marion","Downstream2","1","04/29/2025",15:35:00,"EST",0.3,8,3,0.005,0.033,0.025,0.005,0.003,0.014,12,,,"Q","Q",,"Sample","CHLC1015202510162025","Student Project",,2025-04-29,2025-04-29,2025-10-16,"Q","Florida Lakewatch","21FLKWAT"
"04/29/2025",14:53:00,"EST","10/16/2025",12:59:59,"EST","Marion","Ponar1","1","04/29/2025",14:47:00,"EST",0.3,8,4,0.003,0.017,0.008,0.003,0.005,0.016,2,,,"Q","Q",,"Sample","CHLC1015202510162025","Student Project",,2025-04-29,2025-04-29,2025-10-16,"Q","Florida Lakewatch","21FLKWAT"
"04/29/2025",16:06:59,"EST","10/16/2025",12:59:59,"EST","Marion","Ponar2","1","04/29/2025",16:02:59,"EST",0.3,8,5,0.003,0.033,0.014,0.003,0.003,0.025,6,,,"Q","Q",,"Sample","CHLC1015202510162025","Student Project",,2025-04-29,2025-04-29,2025-10-16,"Q","Florida Lakewatch","21FLKWAT"
"04/29/2025",14:34:59,"EST","10/16/2025",12:59:59,"EST","Marion","Reservoir1","1","04/29/2025",14:29:59,"EST",0.3,8,6,0.005,0.02,0.011,0.005,0.006,0.017,3,,,"Q","Q",,"Sample","CHLC1015202510162025","Student Project",,2025-04-29,2025-04-29,2025-10-16,"Q","Florida Lakewatch","21FLKWAT"
"04/29/2025",16:35:00,"EST","10/16/2025",12:59:59,"EST","Marion","Reservoir2","1","04/29/2025",16:30:00,"EST",0.3,8,7,0.007,0.041,0.02,0.007,0.007,0.031,7,,,"Q","Q",,"Sample","CHLC1015202510162025","Student Project",,2025-04-29,2025-04-29,2025-10-16,"Q","Florida Lakewatch","21FLKWAT"
,,,"10/16/2025",12:59:59,"EST",,,"CCV1",,,,0.008,8,22,0.002,0.019,0.007,0.002,0.001,0.012,160,,,"",,,"QAQC","CHLC1015202510162025",,,,,2025-10-16,,"Florida Lakewatch","21FLKWAT"
,,,"10/16/2025",12:59:59,"EST",,,"MLBK2",,,,1,8,23,0.003,0.007,0.006,0.003,0.003,0.006,1,,,"TI",,"TI","QAQC","CHLC1015202510162025",,,,,2025-10-16,"U","Florida Lakewatch","21FLKWAT"
,,,"10/16/2025",12:59:59,"EST",,,"CCV2",,,,0.008,8,44,0.002,0.018,0.008,0.002,0.005,0.016,134,,,"",,,"QAQC","CHLC1015202510162025",,,,,2025-10-16,,"Florida Lakewatch","21FLKWAT"
,,,"10/16/2025",12:59:59,"EST",,,"MLBK3",,,,1,8,45,0.004,0.006,0.006,0.004,0.004,0.004,1,,,"TI",,"TI","QAQC","CHLC1015202510162025",,,,,2025-10-16,"U","Florida Lakewatch","21FLKWAT"
"04/29/2025",,"EST","10/16/2025",12:59:59,"EST","Sarasota","Willowbrook","1","04/29/2025",,"EST",0.5,8,63,0.003,0.143,0.055,0.003,0.007,0.11,16,,,"Q","Q",,"Sample","CHLC1015202510162025",,,2025-04-29,2025-04-29,2025-10-16,"Q","Florida Lakewatch","21FLKWAT"
"04/29/2025",,"EST","10/16/2025",12:59:59,"EST","Sarasota","Willowbrook","2","04/29/2025",,"EST",0.5,8,64,0.004,0.122,0.049,0.004,0.006,0.093,13,,,"Q","Q",,"Sample","CHLC1015202510162025",,,2025-04-29,2025-04-29,2025-10-16,"Q","Florida Lakewatch","21FLKWAT"
"06/19/2025",,"EST","10/16/2025",12:59:59,"EST","Sarasota","Willowbrook","1","06/19/2025",,"EST",0.5,8,65,0.007,0.191,0.078,0.007,0.005,0.14,21,,,"",,,"Sample","CHLC1015202510162025",,,2025-06-19,2025-06-19,2025-10-16,,"Florida Lakewatch","21FLKWAT"
,,,"10/16/2025",12:59:59,"EST",,,"CCV3",,,,0.008,8,66,0.002,0.019,0.008,0.002,0.004,0.014,187,,,"",,,"QAQC","CHLC1015202510162025",,,,,2025-10-16,,"Florida Lakewatch","21FLKWAT"
,,,"10/16/2025",12:59:59,"EST",,,"MLBK4",,,,1,8,67,0.005,0.008,0.008,0.005,0.005,0.006,1,,,"TI",,"TI","QAQC","CHLC1015202510162025",,,,,2025-10-16,"U","Florida Lakewatch","21FLKWAT"
"06/19/2025",,"EST","10/16/2025",12:59:59,"EST","Sarasota","Willowbrook","2","06/19/2025",,"EST",0.5,8,68,0.006,0.177,0.074,0.006,0.006,0.132,19,,,"",,,"Sample","CHLC1015202510162025",,,2025-06-19,2025-06-19,2025-10-16,,"Florida Lakewatch","21FLKWAT"
"07/22/2025",,"EST","10/16/2025",12:59:59,"EST","Sarasota","Willowbrook","1","07/22/2025",,"EST",0.5,8,69,0.007,0.101,0.049,0.007,0.005,0.071,12,,,"",,,"Sample","CHLC1015202510162025",,,2025-07-22,2025-07-22,2025-10-16,,"Florida Lakewatch","21FLKWAT"
"07/22/2025",,"EST","10/16/2025",12:59:59,"EST","Sarasota","Willowbrook","2","07/22/2025",,"EST",0.5,8,70,0.006,0.082,0.042,0.006,0.008,0.063,9,,,"",,,"Sample","CHLC1015202510162025",,,2025-07-22,2025-07-22,2025-10-16,,"Florida Lakewatch","21FLKWAT"
,,,"10/16/2025",12:59:59,"EST",,,"CCV4",,,,0.008,8,71,0.001,0.017,0.006,0.001,0.002,0.013,134,,,"",,,"Sample","CHLC1015202510162025",,,,,2025-10-16,,"Florida Lakewatch","21FLKWAT"
,,,"10/16/2025",12:59:59,"EST",,,"CCV4",,,,0.008,8,88,,,,,,,,,,"",,,"QAQC","CHLC1015202510162025",,,,,2025-10-16,,"Florida Lakewatch","21FLKWAT"
,,,"10/16/2025",12:59:59,"EST",,,"MLBK5",,,,1,8,89,,,,,,,,,,"",,,"QAQC","CHLC1015202510162025",,,,,2025-10-16,,"Florida Lakewatch","21FLKWAT"
,,,"10/16/2025",12:59:59,"EST",,,"CCV5",,,,0.008,8,110,,,,,,,,,,"",,,"QAQC","CHLC1015202510162025",,,,,2025-10-16,,"Florida Lakewatch","21FLKWAT"
,,,"10/02/2025",09:29:59,"EST",,,"MBLK1",,,,1,8,1,0.001,0,0.001,0.001,0.001,0.001,1,,,"TI",,"TI","QAQC","CHLC1001202510022025","Student Project",,,,2025-10-02,"U","Florida Lakewatch","21FLKWAT"
"07/24/2025",14:29:59,"EST","10/02/2025",09:29:59,"EST","Alachua","USGS Ponds","A1","07/24/2025",13:27:00,"EST",0.1,8,2,0.006,0.137,0.044,0.006,0.01,0.09,109,,,"",,,"Sample","CHLC1001202510022025","Student Project",,2025-07-24,2025-07-24,2025-10-02,,"Florida Lakewatch","21FLKWAT"
"07/24/2025",14:32:00,"EST","10/02/2025",09:29:59,"EST","Alachua","USGS Ponds","A2","07/24/2025",13:08:00,"EST",0.2,8,3,0.006,0.012,0.009,0.006,0.006,0.008,4,,,"",,,"Sample","CHLC1001202510022025","Student Project",,2025-07-24,2025-07-24,2025-10-02,,"Florida Lakewatch","21FLKWAT"
"07/24/2025",14:35:59,"EST","10/02/2025",09:29:59,"EST","Alachua","USGS Ponds","A3","07/24/2025",11:34:00,"EST",0.2,8,4,0.007,0.028,0.017,0.007,0.007,0.023,5,,,"",,,"Sample","CHLC1001202510022025","Student Project",,2025-07-24,2025-07-24,2025-10-02,,"Florida Lakewatch","21FLKWAT"
"07/24/2025",14:40:00,"EST","10/02/2025",09:29:59,"EST","Alachua","USGS Ponds","A4","07/24/2025",10:07:00,"EST",0.1,8,5,0.006,0.016,0.01,0.006,0.007,0.015,4,,,"",,,"Sample","CHLC1001202510022025","Student Project",,2025-07-24,2025-07-24,2025-10-02,,"Florida Lakewatch","21FLKWAT"
"07/24/2025",14:45:00,"EST","10/02/2025",09:29:59,"EST","Alachua","USGS Ponds","A5","07/24/2025",09:39:00,"EST",0.1,8,6,0.006,0.139,0.057,0.006,0.005,0.095,92,,,"",,,"Sample","CHLC1001202510022025","Student Project",,2025-07-24,2025-07-24,2025-10-02,,"Florida Lakewatch","21FLKWAT"
"07/24/2025",14:50:00,"EST","10/02/2025",09:29:59,"EST","Alachua","USGS Ponds","A6","07/24/2025",11:11:00,"EST",0.1,8,7,0.008,0.054,0.027,0.008,0.009,0.039,34,,,"",,,"Sample","CHLC1001202510022025","Student Project",,2025-07-24,2025-07-24,2025-10-02,,"Florida Lakewatch","21FLKWAT"
"07/24/2025",14:55:00,"EST","10/02/2025",09:29:59,"EST","Alachua","USGS Ponds","A7","07/24/2025",10:50:00,"EST",0.1,8,8,0.01,0.092,0.038,0.01,0.009,0.062,62,,,"",,,"Sample","CHLC1001202510022025","Student Project",,2025-07-24,2025-07-24,2025-10-02,,"Florida Lakewatch","21FLKWAT"
"07/24/2025",15:00:00,"EST","10/02/2025",09:29:59,"EST","Alachua","USGS Ponds","A8","07/24/2025",09:20:59,"EST",0.1,8,9,0.007,0.053,0.035,0.007,0.007,0.037,34,,,"",,,"Sample","CHLC1001202510022025","Student Project",,2025-07-24,2025-07-24,2025-10-02,,"Florida Lakewatch","21FLKWAT"
"07/24/2025",15:05:00,"EST","10/02/2025",09:29:59,"EST","Alachua","USGS Ponds","A9","07/24/2025",09:02:59,"EST",0.1,8,10,0.006,0.072,0.029,0.006,0.008,0.051,49,,,"",,,"Sample","CHLC1001202510022025","Student Project",,2025-07-24,2025-07-24,2025-10-02,,"Florida Lakewatch","21FLKWAT"
"06/23/2025",,"EST","10/02/2025",09:29:59,"EST","Alachua","Lochloosa_Lynch_Student Project","OP1","06/23/2025",,"EST",0.115,8,11,0.011,0.076,0.034,0.011,0.012,0.055,41,,,"",,,"Sample","CHLC1001202510022025","Student Project",,2025-06-23,2025-06-23,2025-10-02,,"Florida Lakewatch","21FLKWAT"
"06/23/2025",,"EST","10/02/2025",09:29:59,"EST","Alachua","Lochloosa_Lynch_Student Project","OP2","06/23/2025",,"EST",0.105,8,12,0.009,0.085,0.037,0.009,0.007,0.057,53,,,"",,,"Sample","CHLC1001202510022025","Student Project",,2025-06-23,2025-06-23,2025-10-02,,"Florida Lakewatch","21FLKWAT"
"06/23/2025",,"EST","10/02/2025",09:29:59,"EST","Alachua","Lochloosa_Lynch_Student Project","OP3","06/23/2025",,"EST",0.1,8,13,0.005,0.061,0.027,0.005,0.007,0.045,38,,,"",,,"Sample","CHLC1001202510022025","Student Project",,2025-06-23,2025-06-23,2025-10-02,,"Florida Lakewatch","21FLKWAT"
"06/23/2025",,"EST","10/02/2025",09:29:59,"EST","Alachua","Lochloosa_Lynch_Student Project","LC","06/23/2025",,"EST",0.25,8,14,0.005,0.152,0.058,0.005,0.008,0.106,42,,,"",,,"Sample","CHLC1001202510022025","Student Project",,2025-06-23,2025-06-23,2025-10-02,,"Florida Lakewatch","21FLKWAT"
"06/23/2025",,"EST","10/02/2025",09:29:59,"EST","Alachua","Lochloosa_Lynch_Student Project","L2","06/23/2025",,"EST",0.15,8,15,0.007,0.076,0.038,0.007,0.009,0.058,28,,,"",,,"Sample","CHLC1001202510022025","Student Project",,2025-06-23,2025-06-23,2025-10-02,,"Florida Lakewatch","21FLKWAT"
"06/23/2025",,"EST","10/02/2025",09:29:59,"EST","Alachua","Lochloosa_Lynch_Student Project","L4","06/23/2025",,"EST",0.15,8,16,0,0.066,0.022,0,0.004,0.047,33,,,"",,,"Sample","CHLC1001202510022025","Student Project",,2025-06-23,2025-06-23,2025-10-02,,"Florida Lakewatch","21FLKWAT"
"06/23/2025",,"EST","10/02/2025",09:29:59,"EST","Alachua","Lochloosa_Lynch_Student Project","L5","06/23/2025",,"EST",0.15,8,17,0.006,0.071,0.028,0.006,0.006,0.053,26,,,"",,,"Sample","CHLC1001202510022025","Student Project",,2025-06-23,2025-06-23,2025-10-02,,"Florida Lakewatch","21FLKWAT"
"07/24/2025",,"EST","10/02/2025",09:29:59,"EST","Alachua","Lochloosa_Lynch_Student Project","OP1","07/24/2025",,"EST",0.1,8,18,0.003,0.079,0.027,0.003,0.004,0.052,60,,,"",,,"Sample","CHLC1001202510022025","Student Project",,2025-07-24,2025-07-24,2025-10-02,,"Florida Lakewatch","21FLKWAT"
"07/24/2025",,"EST","10/02/2025",09:29:59,"EST","Alachua","Lochloosa_Lynch_Student Project","OP2","07/24/2025",,"EST",0.1,8,19,0.005,0.098,0.034,0.005,0,0.062,66,,,"",,,"Sample","CHLC1001202510022025","Student Project",,2025-07-24,2025-07-24,2025-10-02,,"Florida Lakewatch","21FLKWAT"
"07/24/2025",,"EST","10/02/2025",09:29:59,"EST","Alachua","Lochloosa_Lynch_Student Project","OP3","07/24/2025",,"EST",0.1,8,20,0.002,0.075,0.025,0.002,0.004,0.05,58,,,"",,,"Sample","CHLC1001202510022025","Student Project",,2025-07-24,2025-07-24,2025-10-02,,"Florida Lakewatch","21FLKWAT"
"07/24/2025",,"EST","10/02/2025",09:29:59,"EST","Alachua","Lochloosa_Lynch_Student Project","LC","07/24/2025",,"EST",0.425,8,21,0.006,0.144,0.052,0.006,0.007,0.099,23,,,"",,,"Sample","CHLC1001202510022025","Student Project",,2025-07-24,2025-07-24,2025-10-02,,"Florida Lakewatch","21FLKWAT"
,,,"10/02/2025",09:29:59,"EST",,,"CCV1",,,,0.008,8,22,0.001,0.018,0.006,0.001,0.005,0.015,187,,,"",,,"QAQC","CHLC1001202510022025","Student Project",,,,2025-10-02,,"Florida Lakewatch","21FLKWAT"
,,,"10/02/2025",09:29:59,"EST",,,"MLBK2",,,,1,8,23,0.001,0.003,0.003,0.001,0.001,0.003,1,,,"TI",,"TI","QAQC","CHLC1001202510022025","Student Project",,,,2025-10-02,"U","Florida Lakewatch","21FLKWAT"
"07/24/2025",,"EST","10/02/2025",09:29:59,"EST","Alachua","Lochloosa_Lynch_Student Project","L2","07/24/2025",,"EST",0.115,8,24,0.011,0.111,0.045,0.011,0.01,0.076,63,,,"",,,"Sample","CHLC1001202510022025","Student Project",,2025-07-24,2025-07-24,2025-10-02,,"Florida Lakewatch","21FLKWAT"
"07/24/2025",,"EST","10/02/2025",09:29:59,"EST","Alachua","Lochloosa_Lynch_Student Project","L4","07/24/2025",,"EST",0.16,8,25,0.005,0.097,0.035,0.005,0.007,0.067,43,,,"",,,"Sample","CHLC1001202510022025","Student Project",,2025-07-24,2025-07-24,2025-10-02,,"Florida Lakewatch","21FLKWAT"
"07/24/2025",,"EST","10/02/2025",09:29:59,"EST","Alachua","Lochloosa_Lynch_Student Project","L5","07/24/2025",,"EST",0.155,8,26,0.002,0.09,0.033,0.002,0.002,0.063,37,,,"",,,"Sample","CHLC1001202510022025","Student Project",,2025-07-24,2025-07-24,2025-10-02,,"Florida Lakewatch","21FLKWAT"
"08/20/2025",,"EST","10/02/2025",09:29:59,"EST","Alachua","Lochloosa_Lynch_Student Project","OP1","08/20/2025",,"EST",0.065,8,27,0.003,0.083,0.028,0.003,0.007,0.059,92,,,"",,,"Sample","CHLC1001202510022025","Student Project",,2025-08-20,2025-08-20,2025-10-02,,"Florida Lakewatch","21FLKWAT"
"08/20/2025",,"EST","10/02/2025",09:29:59,"EST","Alachua","Lochloosa_Lynch_Student Project","OP2","08/20/2025",,"EST",0.07,8,28,0.002,0.069,0.022,0.002,0,0.042,76,,,"",,,"Sample","CHLC1001202510022025","Student Project",,2025-08-20,2025-08-20,2025-10-02,,"Florida Lakewatch","21FLKWAT"
"08/20/2025",,"EST","10/02/2025",09:29:59,"EST","Alachua","Lochloosa_Lynch_Student Project","OP3","08/20/2025",,"EST",0.09,8,29,0.004,0.078,0.027,0.004,0.003,0.049,66,,,"",,,"Sample","CHLC1001202510022025","Student Project",,2025-08-20,2025-08-20,2025-10-02,,"Florida Lakewatch","21FLKWAT"
